Grupo,Total Metros
URUGUAI,364060
BAGUN,158521
COROPRIME,139127
NAPA,131365
OMEGA,119641
AUTOPLAS,103659
DIVERSOS,94628
DUNE,64346
ANKARA,59594
COROMIX,54776
CABEDAL,54011
BANNER,46504
VERNIZ,45297
IMPORTADO,37030
ARTPLAS,36103
EMBORRACHADO,32400
POLVORA,31990
DOLLARO,31607
CORINO,30629
DANKA,27450
LXR,27372
CASCO,22539
BAGUN PETALO,16984
PASSADEIRA,12202
JUTA,8964
LUXE,8734
RCAPAS,8484
LISBOA,7860
PERFECTO,7554
OLIMPO,7070
PLASTIFICAÇÃO,7020
NAUTICO,6223
BRESSER,6174
HONDA,5998
PERNEIRA PLUS (EXTRUSADO),5500
PROTECSOL,4933
PRIMAVERA,4857
CEDRO,4000
KORIPLAS,3577
MILANO,3480
MATELASSE,2739
BOOK PERSONALIZADOS,2400
BLING,2186
PALHA,1500
VÊNETO,1036
ADITIVOS,1000
LAMMAR,1000
PETALO,1000
CORDEL,650
SONATA,600
SAFFIANO,40
